Amount,Use_Chip,Merchant_City,Gender,City,State,Per_Capita_Income_Zipcode,Yearly_Income_Person,Total_Debt,FICO_Score,Num_Credit_Cards,Card_Type,Credit_Limit,Fraud,Date,Age_Group
79.77,Online,ONLINE,Male,Vancouver,WA,22050,44963,90682,705,4,Debit,24295,Yes,2010-05-13,36-50
105.42,Swipe,Woodbridge,Female,Beacon Falls,CT,28814,58749,113308,768,6,Debit,620,Yes,2008-12-17,26-35
38.69,Swipe,Oklahoma City,Female,Oklahoma City,OK,14465,29496,49681,704,5,Debit,24295,No,2014-02-23,51-65
52.77,Chip,Jeffersonville,Female,Jeffersonville,KY,13602,27733,21785,765,3,Debit,46414,No,2016-02-11,51-65
249.97,Swipe,Bethesda,Male,Bethesda,MD,56069,114318,328089,748,3,Debit,21968,No,2018-06-24,51-65
34.4,Online,ONLINE,Male,Honeoye Falls,NY,32973,67230,45269,685,2,Debit,21968,No,2013-08-26,26-35
107.81,Swipe,Boulder,Female,Boulder,CO,31377,63974,131731,707,4,Debit,21968,No,2012-08-12,51-65
36.83,Chip,Louisville,Female,Shepherdsville,KY,19661,40087,17392,712,2,Debit,24295,No,2017-04-06,36-50
257.41,Swipe,Strasburg,Female,Charleston,SC,17158,34982,134631,765,3,Debit,46414,Yes,2014-01-05,36-50
140.8,Chip,Meriden,Female,Meriden,CT,24393,49737,136056,643,1,Debit,24295,No,2019-10-20,51-65
349.06,Online,ONLINE,Male,Rochester,MN,23553,40696,15691,801,6,Debit,24295,Yes,2016-09-13,66+
343,Online,ONLINE,Male,Portland,OR,33737,68787,171854,527,1,Debit,24295,Yes,2008-05-15,51-65
21.4,Swipe,Glen Allen,Female,Henrico,VA,20917,42652,133935,729,6,Credit,12400,Yes,2008-12-14,36-50
3.14,Online,ONLINE,Male,Fayetteville,NC,18376,37467,50461,784,4,Debit,21968,Yes,2015-08-23,51-65
16.58,Swipe,Mcallen,Male,Alamo,TX,10091,20577,60152,825,4,Debit,21968,Yes,2008-09-18,66+
35.87,Swipe,Concord,Male,Pittsfield,NH,19781,40336,144284,668,4,Debit,46414,No,2013-11-05,36-50
137.05,Swipe,Algiers,Female,Minneapolis,MN,40364,82298,182301,789,6,Debit,46414,Yes,2006-03-21,51-65
153.63,Swipe,Port Chester,Male,Hartsdale,NY,44664,40957,64144,608,4,Debit,21968,Yes,2008-07-11,51-65
96.3,Swipe,Henrico,Female,Henrico,VA,20917,42652,133935,729,6,Debit,620,No,2012-12-12,36-50
47.7,Swipe,Casper,Male,Casper,WY,25502,51703,5371,722,7,Debit,24295,No,2005-06-29,66+
7.35,Swipe,Saint George,Female,Saint George,UT,14470,29510,47153,752,4,Debit,21968,No,1999-12-31,36-50
9.34,Online,ONLINE,Female,Short Hills,NJ,137428,280199,91367,752,5,Credit,12400,Yes,2008-03-28,51-65
15.72,Swipe,Annapolis,Female,Arnold,MD,35645,72670,28915,718,3,Debit,46414,Yes,2006-04-25,36-50
13.19,Swipe,Rainsville,Male,Rainsville,AL,15562,11029,3225,786,3,Debit,21968,No,2010-05-05,66+
136.82,Online,ONLINE,Male,Wichita Falls,TX,13705,27943,18693,681,4,Debit,24295,Yes,2013-10-18,36-50
93.03,Swipe,La Jolla,Female,San Diego,CA,0,553,740,719,3,Debit,21968,Yes,2013-03-09,36-50
80,Chip,Bakersfield,Male,Bakersfield,CA,19023,38788,77448,716,1,Debit,24295,No,2015-06-04,26-35
1.13,Swipe,Chicago,Female,Chicago,IL,0,4,0,691,3,Debit,46414,No,2008-01-19,51-65
6.47,Swipe,Rose,Male,Port Chester,NY,35269,71909,44190,712,3,Debit,21968,No,1999-10-30,51-65
76.07,Swipe,Apple River,Male,Rochelle,IL,18590,37898,36994,716,5,Debit,21968,No,2007-08-27,51-65
3.47,Chip,Mobile,Female,Mobile,AL,21331,43496,114563,765,3,Debit,21968,No,2015-01-08,36-50
90.58,Swipe,Aurora,Female,Aurora,CO,24849,50666,102318,617,3,Debit,21968,No,2009-08-02,26-35
92.98,Swipe,Downers Grove,Male,Aurora,IL,14200,28954,41461,636,2,Debit,24295,Yes,2012-04-08,51-65
152.36,Online,ONLINE,Female,Burke,VA,35563,87659,0,779,4,Debit,21968,Yes,2013-08-26,66+
96.4,Swipe,Oviedo,Male,Oviedo,FL,27255,55571,93460,636,3,Debit,24295,No,2012-12-21,51-65
1.12,Swipe,Brooklyn,Female,Brooklyn,NY,19652,31317,4591,687,4,Debit,46414,No,2014-10-17,66+
120,Swipe,Philadelphia,Male,Orlando,FL,33078,67444,93513,850,1,Debit,24295,No,2002-10-27,36-50
1.35,Swipe,Kissimmee,Female,Kissimmee,FL,16150,32928,80794,850,5,Debit,21968,No,2000-09-05,51-65
448,Chip,Rome,Male,Westminster,SC,15406,31943,1248,686,6,Debit,620,Yes,2018-11-22,66+
57.87,Online,ONLINE,Male,Traverse City,MI,20325,41442,78833,712,3,Debit,24295,Yes,2016-07-24,26-35
253.94,Online,ONLINE,Female,Thompsons Station,TN,27637,56350,120125,808,4,Credit,12400,Yes,2009-03-04,26-35
120,Chip,Eagle Point,Male,Medford,OR,18961,38661,88636,765,3,Debit,24295,No,2018-09-12,36-50
37.77,Swipe,Algiers,Female,West Covina,CA,22681,33483,196,698,5,Debit,21968,Yes,2006-05-25,66+
-92,Swipe,North Hollywood,Female,North Hollywood,CA,16892,34441,907,725,4,Debit,21968,No,2013-07-12,36-50
50.19,Online,ONLINE,Male,Clarksville,IN,16097,32820,23004,740,4,Credit,12400,Yes,2015-08-18,51-65
93.07,Online,ONLINE,Female,Apex,NC,32485,66230,90248,742,3,Debit,24295,Yes,2012-05-27,51-65
77.52,Swipe,Rosedale,Female,Rosedale,NY,24412,49776,17352,684,3,Debit,24295,No,2014-11-24,36-50
6.09,Swipe,Milwaukee,Male,Milwaukee,WI,15487,31579,52419,771,3,Debit,24295,No,2008-07-10,51-65
9.82,Swipe,Chula Vista,Male,Chula Vista,CA,16942,34542,35474,697,4,Debit,46414,No,2009-04-08,26-35
1.36,Swipe,Barberton,Male,Barberton,OH,17856,36405,31815,715,2,Debit,21968,No,2010-02-10,36-50
345.85,Online,ONLINE,Female,Marion Center,PA,16071,32770,103262,641,4,Debit,21968,Yes,2010-04-29,36-50
6.11,Chip,Atlanta,Female,Atlanta,GA,47453,96744,128122,838,5,Debit,21968,No,2017-03-29,26-35
87.95,Online,ONLINE,Male,Rush,NY,26072,54013,3628,779,8,Credit,12400,Yes,2015-07-05,66+
142.09,Swipe,Telford,Female,Telford,PA,26273,42509,2895,755,5,Debit,46414,No,2005-07-05,66+
69,Swipe,Bothell,Female,Bothell,WA,33226,67747,76650,804,3,Debit,46414,No,2009-12-23,36-50
38.67,Swipe,Stanford,Female,Stanford,KY,15202,30997,81716,722,2,Debit,24295,No,2012-10-25,36-50
40.12,Online,ONLINE,Male,Fresno,CA,13093,26696,0,683,5,Debit,24295,No,2014-06-02,51-65
44.43,Online,ONLINE,Female,San Jose,CA,51631,52929,37514,737,7,Credit,12400,Yes,2016-11-13,66+
93.65,Online,ONLINE,Female,Seattle,WA,37485,76431,115362,716,5,Debit,46414,Yes,2007-12-02,51-65
26.31,Swipe,Irvington,Female,Gulf Shores,AL,15553,31713,42895,646,1,Debit,24295,No,2009-09-23,51-65
45.69,Swipe,Colorado Springs,Female,Colorado Springs,CO,20579,41957,151027,783,3,Debit,46414,No,2017-02-13,51-65
162.99,Online,ONLINE,Male,Charlotte,TN,17261,35196,51751,684,4,Debit,21968,Yes,2010-03-18,51-65
55.91,Online,ONLINE,Male,Reidsville,NC,16888,34437,0,681,4,Debit,24295,Yes,2015-07-17,51-65
87.83,Online,ONLINE,Male,Grenada,MS,15568,31739,81905,799,5,Debit,24295,Yes,2016-01-09,36-50
85.89,Swipe,Strasburg,Female,Oxford,MD,28497,58105,70254,688,3,Debit,46414,Yes,2014-04-05,26-35
531.48,Chip,Rome,Male,Sacramento,CA,15290,31177,18859,689,5,Credit,12400,Yes,2018-06-07,51-65
27.48,Chip,Portage,Male,Madison,WI,23680,48279,114254,719,2,Debit,24295,No,2019-07-18,36-50
45.48,Chip,Ridgewood,Male,Ridgewood,NJ,75378,153691,197377,604,2,Debit,21968,No,2017-02-24,51-65
19.93,Online,ONLINE,Female,Huntington Station,NY,34873,71103,136853,721,4,Debit,46414,Yes,2016-11-10,36-50
-366,Online,ONLINE,Male,Terre Haute,IN,21131,43084,0,850,3,Debit,46414,Yes,2015-11-12,36-50
198.05,Online,ONLINE,Female,Allen,TX,32580,78329,40161,720,3,Debit,21968,No,2014-03-18,66+
45.34,Online,ONLINE,Female,Manteca,CA,23368,47643,45706,764,8,Debit,46414,Yes,2013-10-19,51-65
149.57,Online,ONLINE,Male,Olympia,WA,24044,49023,66148,583,5,Debit,21968,Yes,2013-12-28,36-50
70.03,Chip,Rome,Female,Independence,MO,16224,33076,50117,721,3,Debit,24295,Yes,2019-04-04,26-35
71.88,Online,ONLINE,Female,Fort Gibson,OK,18585,27864,1371,591,6,Debit,24295,Yes,2010-05-06,66+
381.78,Online,ONLINE,Male,Fort Worth,TX,21401,18149,26672,738,2,Debit,21968,Yes,2010-09-06,51-65
59.68,Swipe,Valparaiso,Male,Indianapolis,IN,31114,63439,199706,786,2,Debit,24295,No,2000-04-16,51-65
67.3,Swipe,Bloomington,Female,Bloomington,IN,19125,38999,64875,747,4,Debit,21968,No,2009-10-19,66+
99.09,Swipe,Bucyrus,Female,Charleston,SC,17158,34982,134631,765,3,Debit,21968,Yes,2007-04-20,36-50
-52,Swipe,Parrish,Female,Parrish,AL,17716,36122,51593,641,2,Debit,21968,No,2014-03-30,36-50
8.17,Online,ONLINE,Female,Merritt Island,FL,26339,53702,85160,606,1,Debit,24295,No,2006-01-09,51-65
8.01,Swipe,Springfield,Male,West Plains,MO,14191,33356,938,566,4,Credit,12400,No,2011-04-22,66+
128.8,Online,ONLINE,Male,Leakesville,MS,18746,38223,30756,725,4,Debit,21968,Yes,2016-04-10,36-50
26.45,Chip,Rome,Female,Charleston,SC,17158,34982,134631,765,3,Debit,24295,Yes,2017-11-22,36-50
1.15,Swipe,Concord,Male,Concord,NC,25299,51581,35134,810,5,Credit,12400,No,2008-12-06,51-65
74.29,Online,ONLINE,Female,Marion Center,PA,16071,32770,103262,641,4,Debit,24295,Yes,2007-12-13,36-50
8.32,Chip,North Chili,Female,North Chili,NY,22855,46599,12700,684,4,Credit,12400,No,2018-06-02,26-35
24.58,Chip,Rome,Female,Jessup,MD,28673,58463,141151,737,4,Debit,46414,Yes,2018-09-17,51-65
97.6,Swipe,Quincy,Female,Somerville,MA,31849,59938,36978,670,1,Debit,24295,No,2008-11-06,66+
458,Online,ONLINE,Male,Bradenton,FL,17590,35868,48465,562,4,Debit,46414,Yes,2013-10-20,36-50
331,Swipe,San Antonio,Male,Louisville,KY,25258,51499,7226,788,4,Credit,12400,No,2008-08-18,36-50
25.67,Swipe,Vinton,Male,Vinton,VA,19188,39124,66231,722,4,Debit,46414,No,2005-07-14,36-50
112.51,Online,ONLINE,Male,Mount Vernon,NY,34646,70634,155651,682,4,Debit,21968,Yes,2007-09-22,51-65
99.19,Swipe,Virginia Beach,Female,Virginia Beach,VA,29485,41843,1741,500,3,Debit,24295,No,2009-06-14,66+
96.49,Swipe,Blackwood,Male,Lake Hopatcong,NJ,34205,69747,80763,741,4,Debit,21968,No,2008-05-08,36-50
-88,Swipe,Milwaukee,Male,Milwaukee,WI,15487,31579,52419,771,3,Debit,24295,No,2008-02-01,51-65
2.46,Swipe,Pinole,Male,Pinole,CA,25849,28210,22961,655,2,Debit,21968,No,1999-11-05,51-65
39.96,Swipe,Lake Hopatcong,Male,Lake Hopatcong,NJ,34205,69747,80763,741,4,Debit,24295,No,2005-12-17,36-50
40.48,Online,ONLINE,Female,La Grange,IL,34681,70711,100226,741,2,Debit,21968,Yes,2016-01-11,36-50
1.96,Chip,Longview,Male,Longview,TX,20531,41865,60911,676,4,Debit,21968,No,2015-06-27,51-65
23.06,Swipe,Glenwood Springs,Female,Grand Junction,CO,24115,49169,65994,747,2,Debit,21968,No,2009-08-05,36-50
49.76,Swipe,Hazel Park,Male,Eastpointe,MI,18487,37686,41173,739,4,Debit,21968,Yes,2012-04-24,51-65
90,Swipe,Chesapeake,Female,Chesapeake,VA,22084,45025,49878,691,2,Debit,21968,No,2010-04-18,26-35
72,Swipe,Columbia,Female,Columbia,SC,23917,48762,143208,771,6,Debit,620,No,2008-05-31,36-50
6.81,Swipe,Garner,Male,Garner,NC,22685,46256,106753,650,3,Debit,46414,No,2013-09-12,51-65
103.44,Online,ONLINE,Male,Durham,NC,30325,41763,2279,714,5,Debit,21968,No,2007-01-22,66+
9.88,Chip,Albuquerque,Male,Albuquerque,NM,20993,16542,36831,733,3,Debit,46414,No,2019-04-26,66+
238.38,Online,ONLINE,Female,Barnegat,NJ,20034,40848,146608,706,2,Debit,24295,Yes,2016-12-06,51-65
125.11,Swipe,Tokyo,Male,Milpitas,CA,33758,68827,35669,755,2,Debit,24295,Yes,2002-12-21,36-50
68,Swipe,High Falls,Female,Fleischmanns,NY,14515,9766,66,732,4,Debit,24295,No,2012-10-09,66+
56.18,Swipe,Mount Vernon,Female,Mount Kisco,NY,55274,112695,35135,840,6,Debit,620,No,2019-02-16,51-65
45.01,Online,ONLINE,Female,Alvin,TX,21956,44766,68989,713,2,Debit,21968,Yes,2010-10-07,26-35
4.82,Chip,Rome,Male,Jackson,MS,11061,22557,63019,699,5,Debit,46414,Yes,2018-12-26,51-65
78.1,Chip,Richmond,Female,Henrico,VA,20917,42652,133935,729,6,Debit,620,Yes,2016-02-28,36-50
109.09,Chip,Spring Grove,Male,Skokie,IL,21801,44452,12409,711,5,Debit,46414,No,2017-03-09,36-50
3.38,Swipe,Riverside,Male,Riverside,IA,22308,45475,68358,698,3,Debit,21968,No,2008-01-21,36-50
48.49,Swipe,Rock Island,Male,Crossville,TN,13708,27952,2070,850,3,Debit,24295,Yes,2008-12-25,36-50
18.62,Swipe,Fayetteville,Male,Fayetteville,NC,17751,36189,16988,694,3,Debit,46414,No,2008-09-02,36-50
7.17,Swipe,Merrill,Male,Merrill,WI,19705,40177,47012,698,4,Credit,12400,No,2006-08-21,51-65
16.68,Chip,Detroit,Male,Camarillo,CA,27544,56163,104767,671,1,Debit,24295,No,2018-09-30,36-50
30.64,Swipe,Lincolnton,Male,Lincolnton,GA,14717,30011,84166,589,1,Debit,24295,No,2009-09-12,51-65
184.33,Online,ONLINE,Female,Jeffersonville,KY,13602,27733,21785,765,3,Debit,46414,Yes,2014-03-01,51-65
200,Chip,Chesapeake,Female,Chesapeake,VA,22084,45025,49878,691,2,Debit,24295,No,2015-09-15,26-35
220.1,Swipe,Algiers,Male,Rego Park,NY,25109,51196,67164,631,4,Credit,12400,Yes,2006-07-12,36-50
68.63,Swipe,Yountville,Male,Walnut Creek,CA,42234,86113,177353,713,6,Debit,24295,No,2013-03-29,36-50
479.09,Online,ONLINE,Female,Boxford,MA,52066,106159,144773,703,5,Debit,46414,Yes,2008-10-23,36-50
3.84,Online,ONLINE,Male,Kernersville,NC,23738,48398,138998,642,3,Debit,21968,Yes,2007-09-22,26-35
140,Swipe,New York,Female,New York,NY,23874,48676,110589,721,4,Debit,46414,No,2009-12-28,26-35
110.23,Online,ONLINE,Female,Sodus,NY,16703,34057,59247,655,4,Debit,46414,Yes,2014-01-19,36-50
25.3,Online,ONLINE,Male,Woodbine,NJ,22697,46278,51243,791,4,Credit,12400,Yes,2016-01-02,36-50
-71,Chip,Jacksonville,Male,Jacksonville,FL,19382,33291,695,714,2,Debit,21968,No,2018-10-03,66+
100,Swipe,Wooster,Female,Uhrichsville,OH,14477,29519,45597,643,3,Debit,46414,No,2011-10-14,51-65
4.24,Swipe,Newburgh,Male,Newburgh,IN,28126,57348,119230,527,3,Debit,24295,No,2006-11-08,36-50
83.23,Swipe,Grants Pass,Female,Medford,OR,18961,30359,16552,758,2,Debit,24295,No,2010-07-11,51-65
17.99,Swipe,Brooklyn,Female,Brooklyn,NY,18719,38165,45891,719,1,Debit,24295,No,2010-08-27,51-65
27.17,Swipe,Brooklyn,Male,Brooklyn,NY,16985,34637,12623,710,4,Debit,21968,No,2014-11-26,51-65
7.92,Swipe,Gloucester,Female,Gloucester,VA,21040,42900,111007,802,6,Debit,620,No,2010-10-23,51-65
43.11,Swipe,Conover,Female,Conover,NC,18444,37617,57746,695,3,Debit,24295,No,2008-02-25,36-50
133.32,Swipe,Algiers,Male,The Villages,FL,8491,17316,26872,748,1,Debit,24295,Yes,2006-02-18,26-35
82.65,Chip,Rome,Male,Tucson,AZ,17460,24960,889,707,9,Credit,19000,Yes,2018-10-08,66+
57.96,Swipe,Ewa Beach,Female,Ewa Beach,HI,22778,42306,472,725,5,Debit,21968,No,2005-06-10,66+
3.21,Chip,San Antonio,Male,San Antonio,TX,29557,33426,1852,699,4,Debit,21968,No,2015-02-04,66+
60.36,Chip,Rome,Female,Whites Creek,TN,20657,42120,72801,739,4,Credit,12400,Yes,2018-12-14,36-50
-159,Online,ONLINE,Female,Bronx,NY,25537,52063,87549,753,2,Debit,21968,Yes,2010-08-02,36-50
-58,Swipe,El Cajon,Female,El Cajon,CA,20673,42150,39663,750,3,Debit,46414,No,2010-05-17,26-35
18.42,Chip,Rocky Point,Male,Rocky Point,NY,28694,58503,37838,680,4,Debit,46414,No,2019-12-20,36-50
3.21,Chip,Brooklyn,Male,Brooklyn,NY,23316,47542,2667,725,3,Debit,21968,No,2018-11-16,36-50
320.64,Swipe,Louisville,Male,Louisville,KY,25258,51499,7226,788,4,Credit,12400,No,2007-01-16,36-50
21.3,Swipe,Pawling,Female,Pawling,NY,31288,63796,82173,730,3,Debit,24295,No,2014-09-09,51-65
121.98,Chip,Rome,Male,Oakland,CA,52813,107683,225017,694,3,Debit,24295,Yes,2019-08-16,26-35
19.6,Swipe,Bethesda,Male,Bethesda,MD,56069,114318,328089,748,3,Debit,46414,No,2012-06-09,51-65
83.7,Swipe,Louisville,Male,Louisville,MS,15316,31231,40499,681,3,Debit,21968,No,2011-05-10,36-50
3.33,Chip,Algodones,Male,Lake Havasu City,AZ,14214,28983,36482,755,3,Debit,21968,No,2019-06-17,36-50
301.76,Online,ONLINE,Male,Walnut Creek,CA,42234,86113,177353,713,6,Credit,12400,Yes,2008-07-10,36-50
6.25,Online,ONLINE,Female,Lebanon,MO,13963,28472,42750,508,1,Debit,24295,No,2017-12-13,26-35
210.11,Online,ONLINE,Female,Fernwood,ID,12618,25723,34007,746,3,Debit,24295,Yes,2016-01-03,36-50
30.29,Online,ONLINE,Male,Cherry Hill,NJ,39626,80794,3867,803,2,Debit,21968,No,2016-12-29,36-50
139.84,Online,ONLINE,Male,Hendersonville,NC,13634,23993,2573,714,5,Debit,24295,Yes,2014-04-05,66+
17.73,Chip,Rome,Female,Dover,OH,18794,38318,93284,748,6,Debit,46414,Yes,2018-10-04,51-65
9.57,Swipe,Delavan,Male,Delavan,WI,18351,31901,16285,778,4,Credit,12400,No,2009-05-26,66+
36.87,Chip,Rome,Male,Pensacola,FL,17987,36671,39882,850,3,Debit,21968,Yes,2018-06-07,36-50
11.96,Swipe,Seneca,Male,Seneca,PA,16237,33108,44044,829,2,Debit,21968,No,2006-04-12,36-50
9.27,Chip,San Diego,Male,San Diego,CA,34848,71054,106595,767,2,Debit,21968,No,2020-02-06,18-25
161.26,Online,ONLINE,Male,Green Bay,WI,16801,34262,60506,846,2,Debit,21968,Yes,2010-08-05,26-35
-57,Chip,Rome,Male,Laurel,MD,27635,56347,32530,779,3,Debit,21968,Yes,2019-08-08,36-50
102.61,Online,ONLINE,Female,San Jose,CA,51631,52929,37514,737,7,Debit,21968,Yes,2016-05-15,66+
1.56,Swipe,Crab Orchard,Male,Cosby,TN,11755,23967,3880,722,4,Credit,12400,No,2012-04-28,36-50
60.98,Chip,Rome,Female,Kingman,AZ,17113,34895,56622,820,4,Credit,12400,Yes,2019-06-18,51-65
11.93,Swipe,Newark,Female,Newark,DE,31719,64672,56485,695,4,Debit,21968,No,2007-10-26,36-50
611.22,Online,ONLINE,Male,Fort Walton Beach,FL,18005,36710,116794,786,5,Debit,21968,Yes,2009-01-25,51-65
16.06,Online,ONLINE,Male,Lake Forest,CA,30307,61793,686,767,4,Debit,24295,Yes,2010-03-01,51-65
195.53,Swipe,Niagara Falls,Female,Mars,PA,39464,80464,76261,727,3,Debit,46414,No,2012-05-27,51-65
186.09,Online,ONLINE,Female,Boston,MA,39312,80156,61817,735,4,Debit,24295,Yes,2012-05-19,51-65
69.69,Swipe,Strasburg,Male,Clifton Springs,NY,19095,20614,14042,711,2,Debit,21968,Yes,2013-08-23,51-65
100.15,Online,ONLINE,Female,Edinburgh,IN,17585,35854,49101,850,2,Debit,21968,Yes,2010-02-28,51-65
26.26,Swipe,Niagara Falls,Female,Switz City,IN,15285,31170,33165,685,5,Debit,46414,No,2014-04-10,36-50
30.68,Swipe,Chattanooga,Male,Chattanooga,TN,23706,48337,70603,625,2,Debit,24295,No,2014-06-08,36-50
248.35,Online,ONLINE,Female,Independence,MO,16224,33076,50117,721,3,Debit,24295,Yes,2016-10-11,26-35
48.77,Chip,Tacoma,Female,Tacoma,WA,20345,41483,64098,721,2,Debit,21968,No,2017-04-06,36-50
12.16,Swipe,Martinsville,Female,Edinburgh,IN,17585,35854,49101,850,2,Debit,21968,No,2008-10-16,51-65
63.28,Swipe,Clinton,Male,Piney Flats,TN,22388,45649,150985,693,1,Debit,24295,No,2013-03-21,26-35
-65,Swipe,Greensburg,Female,Greensburg,PA,23074,52315,3174,695,4,Debit,46414,No,2018-12-04,66+
26.32,Swipe,Camp Hill,Female,Camp Hill,PA,25336,51110,3781,709,8,Debit,24295,No,2011-10-24,66+
71.51,Swipe,Newport News,Male,Newport News,VA,21186,43192,33517,739,3,Debit,24295,No,2014-11-01,36-50
54.39,Swipe,Rome,Female,El Paso,TX,14322,29206,25966,716,6,Debit,46414,Yes,2018-12-10,51-65
55.89,Swipe,Saint George,Female,Saint George,UT,14470,29510,47153,752,4,Credit,12400,Yes,2006-02-14,36-50
45.09,Online,ONLINE,Female,Elyria,OH,18110,36925,89762,721,5,Credit,12400,Yes,2015-10-27,51-65
41.47,Swipe,Abuja,Female,Boxford,MA,52066,106159,144773,703,5,Debit,24295,Yes,2001-12-08,36-50
26.3,Chip,Louisville,Female,Louisville,KY,25258,51500,102286,672,3,Debit,24295,No,2017-08-19,36-50
135.73,Online,ONLINE,Male,Mukwonago,WI,28215,57532,61268,735,4,Debit,24295,Yes,2010-08-31,36-50
80,Swipe,Wilkes Barre,Male,Honesdale,PA,17302,35274,35234,708,3,Debit,46414,No,2018-01-13,51-65
-65,Swipe,Leonard,Male,Longview,TX,20531,41865,60911,676,4,Credit,12400,No,2004-10-13,51-65
110.07,Online,ONLINE,Male,Cape Coral,FL,19274,39303,23650,702,7,Debit,620,Yes,2010-07-04,36-50
26.99,Swipe,Mobile,Female,Mobile,AL,9284,18935,43928,658,3,Debit,24295,No,2012-07-06,36-50
52.64,Chip,Seabrook,Female,Seabrook,TX,37415,76288,120771,710,4,Credit,12400,No,2018-10-01,36-50
36.5,Chip,Rome,Female,Trenton,GA,15950,32522,50155,639,1,Debit,24295,Yes,2019-04-19,36-50
15.71,Swipe,Deer Park,Male,Houston,TX,19554,39871,73726,719,4,Debit,21968,Yes,2006-02-09,36-50
69,Chip,Middleton,Female,Middleton,WI,33808,68930,72619,768,4,Credit,12400,No,2017-09-25,66+
17.57,Swipe,Carrollton,Female,Allen,TX,32580,66427,103290,779,5,Debit,24295,No,2017-05-18,51-65
69.53,Chip,San Antonio,Female,San Antonio,TX,17609,35906,69819,659,3,Debit,21968,No,2020-01-13,51-65
359.71,Chip,Rome,Female,Moreno Valley,CA,15079,30747,51667,850,4,Debit,24295,Yes,2018-12-17,51-65
89.01,Swipe,Rush,Male,Rush,NY,26072,54013,3628,779,8,Credit,12400,No,2008-01-14,66+
30.17,Swipe,Minneapolis,Female,Minneapolis,MN,40364,82298,182301,789,6,Debit,46414,No,2006-11-29,51-65
1.92,Swipe,Manassas,Female,Manassas,VA,24016,50753,20226,698,4,Credit,12400,No,2011-05-31,66+
44.71,Chip,Monroe,Female,Monroe,MI,19736,40246,74352,641,5,Debit,21968,No,2016-04-19,36-50
115.86,Online,ONLINE,Male,Avilla,IN,19236,39222,66559,583,3,Debit,21968,Yes,2004-03-16,51-65
66.31,Chip,Croton,Male,Johnstown,OH,22934,46763,65106,696,3,Debit,24295,Yes,2016-10-18,36-50
8.53,Swipe,Telford,Female,Telford,PA,26273,42509,2895,755,5,Debit,46414,No,2008-01-16,66+
55.06,Swipe,Township Of Washington,Female,Township Of Washington,NJ,37908,77288,46160,771,4,Debit,24295,Yes,2008-09-12,36-50
80.53,Online,ONLINE,Female,Boston,MA,39312,80156,61817,735,4,Credit,12400,Yes,2003-05-26,51-65
190.69,Swipe,Miami,Female,Miami,FL,17893,36481,81550,850,6,Debit,21968,No,2007-09-27,66+
213,Swipe,Kennesaw,Male,Marietta,GA,33093,67470,93795,804,6,Debit,21968,Yes,2008-12-11,51-65
10.93,Swipe,Birmingham,Female,Birmingham,AL,13263,16342,1758,747,5,Debit,24295,No,2018-06-23,66+
8.75,Swipe,San Benito,Male,San Benito,TX,11844,24155,2870,802,3,Debit,24295,No,2003-03-19,51-65
18.21,Swipe,Mesa,Male,Mesa,AZ,21053,42927,132343,687,4,Debit,46414,No,2009-03-30,36-50
737.45,Online,ONLINE,Female,Monroe,MI,19736,40246,74352,641,5,Debit,46414,Yes,2007-11-14,36-50
16.11,Swipe,Springfield,Male,Blackville,SC,12387,25257,83995,734,6,Debit,620,Yes,2008-02-24,51-65
64,Swipe,Redding,Female,Fall River Mills,CA,13723,27981,62926,717,3,Debit,24295,No,2014-06-19,51-65
31.89,Swipe,Oak Park,Male,Miltona,MN,15325,31244,51924,713,4,Debit,24295,No,2011-01-24,51-65
199.53,Online,ONLINE,Male,Carmel,CA,29174,59482,130605,688,4,Debit,24295,Yes,2016-01-10,36-50
8.15,Swipe,Strasburg,Male,Merrill,WI,19705,40177,47012,698,4,Debit,21968,Yes,2013-08-04,51-65
134.76,Online,ONLINE,Female,Tulsa,OK,46461,94733,0,707,5,Debit,24295,Yes,2010-05-04,36-50
70.86,Swipe,Barberton,Male,Barberton,OH,17856,36405,31815,715,2,Debit,21968,No,2006-03-17,36-50
124.26,Swipe,Daly City,Female,Daly City,CA,23752,48430,62384,716,2,Debit,21968,Yes,2008-10-22,36-50
-306,Online,ONLINE,Female,Daly City,CA,23752,48430,62384,716,2,Debit,21968,Yes,2007-12-13,36-50
403.12,Online,ONLINE,Female,Saint George,UT,14470,29510,47153,752,4,Credit,12400,Yes,2009-04-04,36-50
28.07,Chip,Estherville,Male,Northwood,IA,16087,32801,44496,701,2,Debit,24295,No,2019-06-15,36-50
-99,Swipe,Merritt Island,Female,Merritt Island,FL,26339,53702,85160,606,1,Debit,24295,No,2013-07-31,51-65
27.52,Online,ONLINE,Male,Stratford,CT,27589,56248,149587,728,4,Credit,12400,No,2016-11-08,36-50
89,Swipe,Yorba Linda,Female,Yorba Linda,CA,38948,99825,4344,685,4,Debit,21968,No,2005-07-16,66+
126.47,Swipe,Annandale,Female,Annandale,VA,30622,65298,18684,524,2,Debit,24295,No,2012-08-25,66+
55.54,Chip,New York,Female,Seabrook,TX,37415,76288,120771,710,4,Debit,21968,No,2017-12-24,36-50
193.81,Online,ONLINE,Male,Luverne,AL,15474,31553,63938,729,3,Debit,46414,Yes,2016-03-01,36-50
22.86,Chip,Harrison,Male,Harrison,MI,11036,22505,27928,798,3,Debit,46414,No,2015-09-15,36-50
